Topic,Count,Name,Representation,Representative_Docs,Semantic_Coherence
89,13,89_demorou chegar_veio_chegou_chegar,"['demorou chegar', 'veio', 'chegou', 'chegar', 'pouco', 'porém', 'ainda', 'atraso', 'infelizmente', 'veio bem']","['Infelizmente demorou um pouco para chegar.', 'Demorou um pouco.', 'Demorou um pouco mas chegou']",0.7600321
90,13,90_produto veio_chegou produto_produto chegou_produto entregue,"['produto veio', 'chegou produto', 'produto chegou', 'produto entregue', 'receber produto', 'pedi produto', 'produto conforme', 'produto produto', 'veio todo', 'produto']","['Produto conforme anunciado.', 'O produto é como imaginei, muito bom recebi tudo corretamente. | O produto é como imaginei, muito bom recebi tudo corretamente.', 'Entregou dentro do prazo, e o produto correspondeu as minhas expectativas, muito lindo ficou ótimo na minha sala rs | Entregou dentro do prazo, e o produto correspondeu as minhas expectativas, muito lindo ficou ótimo na minha sala rs']",0.79701954
91,13,91_previsto entrega_produto entregue_produto comprado_dia 04,"['previsto entrega', 'produto entregue', 'produto comprado', 'dia 04', '04 18', 'hoje produto', 'comprado', 'produto chegar', 'encomenda', 'entregue ainda']","['O Produto não foi entregue disseram no rastreiamento que ele ainda não chegou na unidade de Salvador, isso foi no dia 23/03/18 e hoje 13/04/18 não tenho mais nenhuma notícia. Espero Resposta fas', 'Tenho acompanhado a evolução da entrega e verifique que o produto se encontra no Rio de Janeiro desde o dia 31/03 e simplesmente não entregam na minha casa. O status está: Encaminhado para CEE JACARE', 'consta que está em transporte desde o dia 25/03/2018 11:16 LONDRINA / PR para RIO DE JANEIRO / RJ espero recebe uma resposta ao meu pedido']",0.60528034
92,13,92_loja entrega_agência correios_serviço entrega_atraso entrega,"['loja entrega', 'agência correios', 'serviço entrega', 'atraso entrega', 'entrega produtos', 'entregas', 'entregam', 'culpa correios', 'entrega', 'lojas']","['Infelizmente não tenho como avaliar pois não sei se o atraso na entrega foi culpa do vendedor ou dos correios, acho que as lojas tem que procurar outra alternativa além dos correios.', 'Paguei frete, porém não recebi meu produto, tive que retirar na agência dos correios. Acho que deveriam ter um pouco de boa vontade nas entregas e fazer o correto, entregar a mercadoria.', 'Como muito custo consegui retirar o produto na agência dos correios.Infelizmente os correios não fazem as entregas em alguns lugares.A loja não tem culpa']",0.6162853
93,12,93_prazo produto_produto ainda_produto passou_chegou prazo,"['prazo produto', 'produto ainda', 'produto passou', 'chegou prazo', 'passou prazo', 'produto chegou', 'chegar prazo', 'momento produto', 'entrega ainda', 'produto momento']","['o produto ainda não chegou . Já passou do prazo', 'Produto ainda não foi entregue, mas deixo essa opinião aqui como uma observação até a expiração da data. | Produto ainda não foi entregue, mas deixo essa opinião aqui como uma observação até a expiração da data. | Produto ainda não foi entregue, mas deixo essa opinião aqui como uma observação até a expiração da data. | Produto ainda não foi entregue, mas deixo essa opinião aqui como uma observação até a expiração da data. | Produto ainda não foi entregue, mas deixo essa opinião aqui como uma observação até a expiração da data.', 'o produto ainda não chegou, já passou do prazo de entrega']",0.7155947
94,12,94_chave_nao funciona_controle remoto_defeito funciona,"['chave', 'nao funciona', 'controle remoto', 'defeito funciona', 'compro lannister', 'controle', 'veio defeito', 'funcionou', 'funciona', 'funcionar']","['o controle remoto nao funciona e ai.recomendo a loja se resolver meu problema ou o controle e so enganaçao mesmo.', 'a chave veio sem pressão , porém veio a chave original', 'É a quarta chave canivete que compro lannister e nenhuma delas Deu para dar ficar na minha chave do meu Vectra outra coisa quero devolver às 4 horas que comprei Que p**** é brincadeira']",0.4368507
95,12,95_prazo entrega_contato loja_entregaram produto_entregue prazo,"['prazo entrega', 'contato loja', 'entregaram produto', 'entregue prazo', 'produto entregue', 'produto data', 'produto demorou', 'prazo chegou', 'recebi email', 'paguei frete']","['Fiz a compra em 07/12/17, ja passou o prazo de entrega, e aonde esta meu produto? Ficam pondo a culpa no correio, sendo que quem faz a minha entrega é uma pessoa conhecida, e ele me disse que não cheg', 'A loja foi rapida em preparar o produto para ser postado. Porem os correios nao entregaram o produto, e ja faz mais de um mes.', 'Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece | Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece']",0.5014981
96,12,96_plástico_plastico_material_qualidade produto,"['plástico', 'plastico', 'material', 'qualidade produto', 'baixa qualidade', 'produto menos', 'produto péssima', 'produto bom', 'péssima qualidade', 'lannister produto']","['Produto de aparência boa porém qualidade baixa não é forrada e o prendedor da alça é de plástico', 'A tesoura de corte é diferente do anunciado cabo de plástico ao invés de metal, baixa qualidade do produto, não recomendo....', 'Produto de péssima qualidade, um plástico muito fino que com certeza irá ressecar em pouco tempo. Base de plástico muito ruim...Pela foto imaginei um produto pelo menos bem cabado.Enfim não recomendo']",0.51138765
97,11,97_comprado comprei_errado comprei_produto entregue_comprado,"['comprado comprei', 'errado comprei', 'produto entregue', 'comprado', 'produto veio', 'produto recebido', 'embalagem', 'comprei jogo', 'porém produto', 'comprei']","['Comprei achando que o cartucho era original da Canon. Veio cartucho recarregável e não original. O anúncio deveria ser mais claro.', 'comprei o cartucho canon como original, pela embalagem e por falta de informação de que era compatível, e recebi um cartucho compatível, que ao que tudo indica é recarragado. Não era isso que queria.', 'Comprei cartucho para impressora PG40 Canon mandaram cartucho compatível, no anuncio tem até a embalagem da Canon e posso estar enganada (mas acho que não estou) o cartucho é recarregado!?????!?!?!?! | Comprei cartucho para impressora PG40 Canon mandaram cartucho compatível, no anuncio tem até a embalagem da Canon e posso estar enganada (mas acho que não estou) o cartucho é recarregado!?????!?!?!?!']",0.6628612
98,11,98_prazo produto_prazo estipulado_data prevista_prazo informado,"['prazo produto', 'prazo estipulado', 'data prevista', 'prazo informado', 'entregue prazo', 'produto chegou', 'produto antes', 'produto entregue', 'dentro prazo', 'entrega produto']","['O produto foi entregue na data correta.', 'produto entregue na data prevista conforme prazo estipulado.', 'produto foi entregue na data limite']",0.6411579
99,11,99_material ruim_produto péssima_péssima qualidade_pessima qualidade,"['material ruim', 'produto péssima', 'péssima qualidade', 'pessima qualidade', 'embalagem produto', 'feio', 'embalagem', 'material', 'capa', 'foto diferente']","['Material horrível ,totalmente diferente do que apresenta na imagem e na descrição , não vale o valor .', 'produto de péssima qualidade, estou aguardando contato para devolução. O tecido é transparente, mal costurado e não veio nas medidas. Não condiz com a foto, propaganda enganosa.', 'A descrição do produto não condiz com o que é! Na descrição da compra está: Composição: 100% Algodão. No entanto, na embalagem do produto a descrição é 80% algodão, 20% poliester. | A descrição do produto não condiz com o que é! Na descrição da compra está: Composição: 100% Algodão. No entanto, na embalagem do produto a descrição é 80% algodão, 20% poliester.']",0.531135
100,11,100_adorei_gostei_chegou bem_super,"['adorei', 'gostei', 'chegou bem', 'super', 'bem', 'chegou', 'linda', 'super rápido', 'perfeito', 'bastante']","['Eu gostei', 'Gostei', 'Adorei, chegou super rápido. Perfeito']",0.727207
101,11,101_controle remoto_comprei controle_controle_aparelho,"['controle remoto', 'comprei controle', 'controle', 'aparelho', 'cabo', 'fiz compra', 'compra fiz', 'funcionou', 'chegou comprei', 'funciona']","['Comprei um controle remoto para TV Sony, mas o mesmo não funcionou.', 'Comprei um controle remoto de um modelo específico e me enviaram um ""controle universal"" que não funciona no meu aparelho... Não recomendo...', 'comprei um controle de ar de condicionado consul e recebi um controle remoto de televisão']",0.51546067
102,10,102_gostei produto_adorei_gostei_ótimo,"['gostei produto', 'adorei', 'gostei', 'ótimo', 'produto', 'queria', 'sim', 'ficou', 'exatamente', 'bom']","['Gostei do produto | Gostei do produto', 'Gostei do produto!', 'Gostei do produto.']",0.71002626
